Feature Importance Comparison:
==================================================
Correlation between models: nan

Feature		CNN Importance	Siamese Importance
I_w_BRU_Weg_t0		0.000000	0.000000
I_w_BHR_Weg_t0		0.000000	0.000000
O_w_BHR_voltage_t0		0.000000	0.000000
I_w_BLO_Weg_t3		0.000000	0.000000
O_w_BLO_voltage_t4		0.000000	0.000000
O_w_HL_voltage_t0		0.000000	0.000000
O_w_HL_voltage_t1		0.000000	0.000000
O_w_HL_voltage_t6		0.000000	0.000000
I_w_HL_Weg_t1		0.000000	0.000000
O_w_BHR_power_t1		0.000000	0.000000
I_w_BRU_Weg_t1		0.000000	0.000000
I_w_BHL_Weg_t4		0.000000	0.000000
I_w_BRU_Weg_t4		0.000000	0.000000
